iter	Passed	Remaining
482	776	830
483	777	828
484	778	827
485	780	824
486	781	823
487	782	821
488	783	818
489	784	816
490	786	814
491	787	813
492	788	810
493	789	808
494	789	805
495	790	803
496	791	801
497	792	798
498	794	797
499	796	796
500	797	793
501	798	791
502	799	789
503	799	787
504	801	785
505	802	783
506	803	781
507	804	779
508	805	777
509	806	775
510	807	772
511	808	770
512	810	768
513	811	766
514	811	764
515	812	762
516	813	759
517	814	757
518	815	755
519	816	754
520	817	751
521	819	750
522	819	747
523	820	745
524	821	743
525	822	740
526	823	739
527	824	737
528	825	735
529	826	733
530	827	731
531	828	728
532	829	726
533	830	724
534	832	723
535	833	721
536	834	719
537	835	717
538	835	714
539	837	713
540	838	711
541	840	709
542	841	707
543	842	706
544	843	704
545	844	702
546	846	700
547	847	699
548	848	697
549	849	695
550	850	693
551	851	691
552	852	689
553	853	687
554	855	685
555	856	683
556	857	681
557	858	679
558	859	677
559	860	675
560	861	674
561	862	672
562	863	670
563	864	668
564	865	666
565	866	664
566	867	662
567	869	661
568	870	659
569	871	657
570	872	655
571	873	653
572	874	651
573	875	649
574	877	648
575	878	646
576	879	644
577	880	643
578	881	641
579	882	639
580	883	637
581	885	635
582	886	633
583	887	631
584	888	630
585	889	628
586	890	626
587	891	624
588	893	623
589	894	621
590	895	619
591	896	617
592	897	615
593	898	613
594	899	612
595	900	610
596	901	608
597	902	606
598	904	605
599	905	603
600	907	602
601	908	600
602	909	599
603	910	597
604	911	595
605	912	593
606	913	591
607	915	590
608	916	588
609	917	586
610	918	584
611	919	582
612	920	581
613	921	579
614	922	577
615	923	575
616	924	573
617	925	571
618	926	570
619	926	568
620	927	566
621	929	564
622	930	562
623	931	561
624	931	559
625	932	557
626	933	555
627	934	553
628	935	551
629	936	549
630	937	548
631	938	546
632	939	544
633	940	542
634	941	540
635	941	539
636	942	537
637	944	535
638	945	534
639	946	532
640	947	530
641	948	528
642	949	527
643	950	525
644	950	523
645	952	522
646	953	520
647	954	518
648	955	516
649	956	515
650	957	513
651	958	511
652	959	510
653	960	508
654	962	506
655	963	505
656	964	503
657	965	501
658	966	500
659	967	498
660	968	496
661	969	495
662	971	493
663	971	491
664	972	490
665	974	488
666	975	487
667	976	485
668	977	483
669	978	481
670	979	480
671	980	478
672	982	477
673	983	475
674	984	474
675	985	472
676	986	470
677	987	468
678	988	467
679	989	465
680	991	464
681	991	462
682	992	460
683	993	459
684	994	457
685	995	455
686	996	453
687	997	452
688	999	450
689	999	449
690	1000	447
691	1001	445
692	1002	444
693	1003	442
694	1005	441
695	1006	439
696	1007	437
697	1008	436
698	1009	434
699	1010	432
700	1010	431
701	1012	429
702	1013	428
703	1014	426
704	1015	424
705	1016	423
706	1017	421
707	1018	419
708	1018	418
709	1020	416
710	1021	415
711	1022	413
712	1023	411
713	1024	410
714	1024	408
715	1025	406
716	1026	405
717	1028	403
718	1030	402
719	1031	401
720	1032	399
721	1033	398
722	1035	396
723	1037	395
724	1038	394
725	1039	392
726	1041	390
727	1042	389
728	1044	388
729	1045	386
730	1046	385
731	1047	383
732	1049	382
733	1051	380
734	1052	379
735	1053	377
736	1054	376
737	1055	374
738	1057	373
739	1058	371
740	1060	370
741	1061	369
742	1062	367
743	1063	365
744	1064	364
745	1066	363
746	1067	361
747	1068	360
748	1069	358
749	1070	356
750	1071	355
751	1073	353
752	1074	352
753	1075	350
754	1075	349
755	1076	347
756	1077	345
757	1078	344
758	1080	342
759	1081	341
760	1082	339
761	1083	338
762	1084	336
763	1085	335
764	1086	333
765	1087	332
766	1089	330
767	1090	329
768	1091	327
769	1092	326
770	1093	324
771	1094	323
772	1095	321
773	1096	320
774	1098	318
775	1099	317
776	1099	315
777	1100	314
778	1101	312
779	1103	311
780	1104	309
781	1105	308
782	1106	306
783	1106	304
784	1107	303
785	1108	301
786	1109	300
787	1111	298
788	1112	297
789	1113	296
790	1114	294
791	1115	292
792	1116	291
793	1117	289
794	1118	288
795	1119	287
796	1120	285
797	1121	284
798	1123	282
799	1124	281
800	1125	279
801	1126	278
802	1128	276
803	1128	275
804	1129	273
805	1130	272
806	1131	270
807	1133	269
808	1134	267
809	1135	266
810	1136	264
811	1136	263
812	1137	261
813	1138	260
814	1139	258
815	1141	257
816	1142	255
817	1143	254
818	1144	253
819	1146	251
820	1147	250
821	1148	248
822	1149	247
823	1150	245
824	1151	244
825	1152	242
826	1153	241
827	1154	239
828	1155	238
829	1156	236
830	1157	235
831	1158	233
832	1159	232
833	1160	230
834	1161	229
835	1162	227
836	1163	226
837	1164	225
838	1165	223
839	1166	222
840	1167	220
841	1168	219
842	1169	217
843	1170	216
844	1171	214
845	1172	213
846	1173	211
847	1174	210
848	1175	209
849	1176	207
850	1177	206
851	1178	204
852	1179	203
853	1180	201
854	1181	200
855	1182	198
856	1183	197
857	1184	196
858	1186	194
859	1187	193
860	1188	191
861	1189	190
862	1190	189
863	1191	187
864	1192	186
865	1194	184
866	1195	183
867	1196	181
868	1197	180
869	1198	179
870	1199	177
871	1201	176
872	1202	174
873	1203	173
874	1204	172
875	1205	170
876	1206	169
877	1207	167
878	1209	166
879	1210	165
880	1211	163
881	1212	162
882	1213	160
883	1214	159
884	1215	157
885	1216	156
886	1217	155
887	1218	153
888	1219	152
889	1220	150
890	1221	149
891	1222	148
892	1224	146
893	1225	145
894	1226	143
895	1227	142
896	1228	141
897	1229	139
898	1229	138
899	1231	136
900	1232	135
901	1233	133
902	1234	132
903	1234	131
904	1235	129
905	1236	128
906	1237	126
907	1239	125
908	1240	124
909	1241	122
910	1242	121
911	1243	119
912	1243	118
913	1244	117
914	1246	115
915	1247	114
916	1248	113
917	1249	111
918	1250	110
919	1251	108
920	1252	107
921	1253	106
922	1254	104
923	1255	103
924	1256	101
925	1257	100
926	1258	99
927	1260	97
928	1261	96
929	1263	95
930	1264	93
931	1265	92
932	1265	90
933	1267	89
934	1268	88
935	1269	86
936	1270	85
937	1271	84
938	1272	82
939	1273	81
940	1274	79
941	1275	78
942	1277	77
943	1278	75
944	1279	74
945	1280	73
946	1281	71
947	1282	70
948	1282	68
949	1284	67
950	1285	66
951	1286	64
952	1287	63
953	1288	62
954	1289	60
955	1289	59
956	1290	57
957	1292	56
958	1293	55
959	1294	53
960	1295	52
961	1296	51
962	1297	49
963	1298	48
964	1299	47
965	1300	45
966	1301	44
967	1302	43
968	1303	41
969	1304	40
970	1305	38
971	1306	37
972	1307	36
973	1308	34
974	1309	33
975	1310	32
976	1311	30
977	1312	29
978	1313	28
979	1315	26
980	1316	25
981	1316	24
982	1317	22
983	1318	21
984	1319	20
985	1320	18
986	1322	17
987	1323	16
988	1325	14
989	1326	13
990	1327	12
991	1328	10
992	1330	9
993	1331	8
994	1332	6
995	1333	5
996	1334	4
997	1335	2
998	1336	1
999	1337	0
